node, module, time
166,False,1000000
70,False,1000000
162,False,1000000
64,False,1000000
118,False,1000000
122,False,1000000
154,False,1000000
97,True,1000000
159,False,1000000
82,True,1000000
33,False,1000000
95,False,1000000
76,False,1000000
66,False,1000000
125,True,1000000
35,False,1000000
25,True,1000000
65,False,1000000
136,False,1000000
120,False,1000000
151,False,1000000
96,False,1000000
168,False,1000000
92,False,1000000
163,False,1000000
48,False,1000000
44,False,1000000
165,False,1000000
139,False,1000000
49,True,1000000
67,True,1000000
71,False,1000000
99,True,1000000
53,False,1000000
157,False,1000000
127,False,1000000
121,False,1000000
128,False,1000000
150,False,1000000
74,False,1000000
108,False,1000000
147,False,1000000
158,False,1000000
138,False,1000000
69,False,1000000
86,True,1000000
34,False,1000000
133,True,1000000
85,False,1000000
145,True,1000000
37,False,1000000
59,False,1000000
83,True,1000000
149,False,1000000
40,True,1000000
131,True,1000000
160,True,1000000
135,False,1000000
126,False,1000000
31,False,1000000
124,True,1000000
46,False,1000000
62,False,1000000
90,False,1000000
109,False,1000000
27,False,1000000
75,False,1000000
57,False,1000000
24,True,1000000
141,False,1000000
94,False,1000000
43,False,1000000
42,False,1000000
113,False,1000000
38,False,1000000
155,False,1000000
22,True,1000000
88,True,1000000
51,True,1000000
110,True,1000000
167,False,1000000
28,True,1000000
142,False,1000000
132,True,1000000
105,False,1000000
84,True,1000000
140,False,1000000
78,True,1000000
